BubbleSort 0 0
InsertionSort 0 0
SelectionSort 0 0
Quicksort 0 0
BubbleSort 0 0
InsertionSort 0 0
SelectionSort 0 0
Quicksort 0 0
BubbleSort 0 0
InsertionSort 0 0
SelectionSort 0 0
Quicksort 0 0
BubbleSort 0 0
InsertionSort 0 0
SelectionSort 0 0
Quicksort 0 0
BubbleSort 0 0
InsertionSort 0 0
SelectionSort 0 0
Quicksort 0 0
BubbleSort 0 0
InsertionSort 0 0
SelectionSort 0 0
Quicksort 0 0
BubbleSort 0 0
InsertionSort 0 0
SelectionSort 0 0
Quicksort 0 0
BubbleSort 0 0
InsertionSort 0 0
SelectionSort 0 0
Quicksort 0 0
BubbleSort 0 0
InsertionSort 0 0
SelectionSort 0 0
Quicksort 0 0
BubbleSort 0 0
InsertionSort 0 0
SelectionSort 0 0
Quicksort 0 0
BubbleSort 1 0
InsertionSort 1 0
SelectionSort 1 2
Quicksort 1 0
BubbleSort 1 0
InsertionSort 1 0
SelectionSort 1 2
Quicksort 1 0
BubbleSort 1 0
InsertionSort 1 0
SelectionSort 1 2
Quicksort 1 0
BubbleSort 1 0
InsertionSort 1 0
SelectionSort 1 2
Quicksort 1 0
BubbleSort 1 0
InsertionSort 1 0
SelectionSort 1 2
Quicksort 1 0
BubbleSort 1 0
InsertionSort 1 0
SelectionSort 1 2
Quicksort 1 0
BubbleSort 1 0
InsertionSort 1 0
SelectionSort 1 2
Quicksort 1 0
BubbleSort 1 0
InsertionSort 1 0
SelectionSort 1 2
Quicksort 1 0
BubbleSort 1 0
InsertionSort 1 0
SelectionSort 1 2
Quicksort 1 0
BubbleSort 1 0
InsertionSort 1 0
SelectionSort 1 2
Quicksort 1 0
BubbleSort 10 63
InsertionSort 10 33
SelectionSort 10 65
Quicksort 10 57
BubbleSort 10 72
InsertionSort 10 39
SelectionSort 10 65
Quicksort 10 51
BubbleSort 10 90
InsertionSort 10 37
SelectionSort 10 65
Quicksort 10 52
BubbleSort 10 45
InsertionSort 10 27
SelectionSort 10 65
Quicksort 10 52
BubbleSort 10 81
InsertionSort 10 36
SelectionSort 10 65
Quicksort 10 53
BubbleSort 10 54
InsertionSort 10 37
SelectionSort 10 65
Quicksort 10 53
BubbleSort 10 54
InsertionSort 10 40
SelectionSort 10 65
Quicksort 10 51
BubbleSort 10 63
InsertionSort 10 27
SelectionSort 10 65
Quicksort 10 47
BubbleSort 10 90
InsertionSort 10 34
SelectionSort 10 65
Quicksort 10 53
BubbleSort 10 72
InsertionSort 10 28
SelectionSort 10 65
Quicksort 10 47
BubbleSort 100 8118
InsertionSort 100 2583
SelectionSort 100 5150
Quicksort 100 1053
BubbleSort 100 8316
InsertionSort 100 2667
SelectionSort 100 5150
Quicksort 100 931
BubbleSort 100 9405
InsertionSort 100 2588
SelectionSort 100 5150
Quicksort 100 998
BubbleSort 100 7920
InsertionSort 100 2185
SelectionSort 100 5150
Quicksort 100 979
BubbleSort 100 8712
InsertionSort 100 2784
SelectionSort 100 5150
Quicksort 100 941
BubbleSort 100 8712
InsertionSort 100 2419
SelectionSort 100 5150
Quicksort 100 947
BubbleSort 100 9405
InsertionSort 100 2607
SelectionSort 100 5150
Quicksort 100 937
BubbleSort 100 8910
InsertionSort 100 2705
SelectionSort 100 5150
Quicksort 100 1011
BubbleSort 100 8217
InsertionSort 100 2450
SelectionSort 100 5150
Quicksort 100 1018
BubbleSort 100 8712
InsertionSort 100 2518
SelectionSort 100 5150
Quicksort 100 1133
BubbleSort 1000 967032
InsertionSort 1000 247885
SelectionSort 1000 501500
Quicksort 1000 13932
BubbleSort 1000 970029
InsertionSort 1000 250664
SelectionSort 1000 501500
Quicksort 1000 13967
BubbleSort 1000 955044
InsertionSort 1000 251004
SelectionSort 1000 501500
Quicksort 1000 13853
BubbleSort 1000 929070
InsertionSort 1000 249550
SelectionSort 1000 501500
Quicksort 1000 13717
BubbleSort 1000 987012
InsertionSort 1000 247640
SelectionSort 1000 501500
Quicksort 1000 14401
BubbleSort 1000 960039
InsertionSort 1000 245737
SelectionSort 1000 501500
Quicksort 1000 13992
BubbleSort 1000 976023
InsertionSort 1000 250815
SelectionSort 1000 501500
Quicksort 1000 13841
BubbleSort 1000 978021
InsertionSort 1000 253037
SelectionSort 1000 501500
Quicksort 1000 15249
BubbleSort 1000 995004
InsertionSort 1000 256364
SelectionSort 1000 501500
Quicksort 1000 15717
BubbleSort 1000 944055
InsertionSort 1000 252901
SelectionSort 1000 501500
Quicksort 1000 16314
BubbleSort 10000 99530046
InsertionSort 10000 25137775
SelectionSort 10000 50015000
Quicksort 10000 192735
BubbleSort 10000 98890110
InsertionSort 10000 25155831
SelectionSort 10000 50015000
Quicksort 10000 202125
BubbleSort 10000 98400159
InsertionSort 10000 24933068
SelectionSort 10000 50015000
Quicksort 10000 184409
BubbleSort 10000 99740025
InsertionSort 10000 24902293
SelectionSort 10000 50015000
Quicksort 10000 187174
BubbleSort 10000 99140085
InsertionSort 10000 25175372
SelectionSort 10000 50015000
Quicksort 10000 187101
BubbleSort 10000 98310168
InsertionSort 10000 25235048
SelectionSort 10000 50015000
Quicksort 10000 188447
BubbleSort 10000 97850214
InsertionSort 10000 24994792
SelectionSort 10000 50015000
Quicksort 10000 200162
BubbleSort 10000 98290170
InsertionSort 10000 24753076
SelectionSort 10000 50015000
Quicksort 10000 192682
BubbleSort 10000 99430056
InsertionSort 10000 25155506
SelectionSort 10000 50015000
Quicksort 10000 198329
BubbleSort 10000 98690130
InsertionSort 10000 25094686
SelectionSort 10000 50015000
Quicksort 10000 184807
